Official Name,Manufacturer,Model,Serial Number,Acquisition Date
"COMPUTER, DESKTOP",IBM,70,23-HXFPD,01/01/1945
"FACSIMILE,",XEROX,7020,98G-034399,01/01/1945
"DRIVE, DISK, COMPACT PLAYER, DESKTOP",SUN MICRO SYSTEMS,411,132G0977,12/30/1991
"FACSIMILE,",CANON,FAXL770,13364,01/17/1992
"COMPUTER, DESKTOP",CSS LABORATORIES INC,433GE,7486120074,12/21/1992
"COMPUTER, DESKTOP",CSS LABORATORIES INC,4860PESPM,848661357,07/12/1994
"PLOTTER,",HEWLETT PACKARD,650C,ESB4C24054,02/03/1995
"PRINTER,",HEWLETT PACKARD,C3099A,JPDD102585,02/21/1995
"COMPUTER, DESKTOP",CSS LABORATORIES INC,P90D,9586-40155,05/02/1995
"DRIVE, DISK, OPTICAL",PANASONIC,LF7300A,JB5450018,11/16/1995
"STORAGE APPLIANCE,",CNT,ULTRNET,2403061301,12/06/1995
"DRIVE,",IBM,FAST EXP700,13K0088,12/06/1995
"DISC SYSTEM,",HITACHI,7700E,40113,12/06/1995
"DRIVE,",IBM,FAST EXP700,13H7915,12/06/1995
"SERVER,",IBM,7311D20,1032BBA,12/06/1995
"SERVER,",IBM,X366,10AAFAC,12/06/1995
"SERVER,",IBM,X366,1305144,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,D240,135V008E,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,SUNFIRE V240,05I0AD1750,12/06/1995
"SERVER,",CISCO SYSTEMS,2500,NONE,12/06/1995
"DRIVE, TAPE, LIBRARY",IBM,3494,78B1187,12/06/1995
"SERVER,",HEWLETT PACKARD,2000S,M0SEMF622C,12/06/1995
"SERVER,",HEWLETT PACKARD,2000S,M04EMF622C,12/06/1995
"SWITCH,",BLACK BOX,SW626A-R2,970712103,12/06/1995
"SERVER,","F5 NETWORKS, INC.",F5,051143,12/06/1995
"SERVER,",CISCO SYSTEMS,2500,SWC792MXLEN,12/06/1995
"ROUTER,",CISCO SYSTEMS,1MU,CAT0904R1FN,12/06/1995
"ROUTER,",CISCO SYSTEMS,1MU,CAT0904R1BM,12/06/1995
"SERVER,",COMPAQ COMPUTER CORP.,DL380,D119FK41K285,12/06/1995
"SERVER,",COMPAQ COMPUTER CORP.,DL360,6J32JNT16036,12/06/1995
"CONCENTRATOR, LATTISNET 10 BASE T",SYNOPTICS,2810A,704353,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,D240,226C5545,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,D240,218C5B85,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,D240,5014953026926,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,1000,5014953026890,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,1000,5014953036929,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,1000,50149530269M,12/06/1995
"COMPUTER, DESKTOP",IBM,355,IS6579RBU7898BB4,12/06/1995
"SERVER,",SUNFIRE,V240,FN42420262,12/06/1995
"SERVER,",IBM,X366,75AGBRA,12/06/1995
"SERVER,",IBM,X366,21454F275AGBXA,12/06/1995
"SERVER,",IBM,X366,21454F275AGCFA,12/06/1995
"SERVER,",IBM,X366,KDPVX16,12/06/1995
"SERVER,",IBM,X366,64P8103,12/06/1995
"SERVER,",IBM,X366,YM1000530111,12/06/1995
"SERVER,",SUN MICRO SYSTEMS,SUNFIRE V240,0510AD1750,12/06/1995
"SERVER,",HEWLETT PACKARD,DL380,USE52LA1H1,12/06/1995
"COMPUTER, PORTABLE",TOSHIBA,4600,212229120,12/06/1995
"DEGAUSSER,",INTEGRA,538-2,60009,12/12/1995
"COMPUTER, DESKTOP",GATEWAY_2000,BATC,5409979,08/13/1996
"COMPUTER, DESKTOP",EPSON,Q501A,49400,08/21/1996
"PRINTER,",HEWLETT PACKARD,C3961A,JPBF104233,09/27/1996
"COMPUTER, DESKTOP",DELL,DELL620010PDCM,7ZQV6,01/03/1997
"DRIVE, DISK, EXTERNAL",IOMEGA,Z100P2,LMEG43M09L,02/19/1997
"PRINTER,",HEWLETT PACKARD,Q7492A,JPRLC16944,05/30/1997
"PRINTER,",HEWLETT PACKARD,C4213A,USBD051167,07/07/1997
"PRINTER,",HEWLETT PACKARD,C4213A,USBD051198,07/07/1997
"PRINTER,",HEWLETT PACKARD,C4213A,USBD051147,07/07/1997
"PRINTER,",HEWLETT PACKARD,C4213A,USBD051253,07/07/1997
"PRINTER,",HEWLETT PACKARD,C4213A,USBD051200,07/07/1997
"FACSIMILE,",RICOH,SFX3700M,B37MA7040074,07/25/1997
"FACSIMILE,",CANON,H12013,UFXO9668,10/09/1997
